Timestamp,Phase,Semi-finished,Series,Figure,Finished,Model,StampID,ItemID
1/21/2020 10:29,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008230         ,768424
1/21/2020 10:29,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008233         ,768425
1/21/2020 10:29,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008232         ,768426
1/21/2020 18:28,Testing,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008226         ,772879
1/21/2020 18:28,Testing,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008230         ,740332
1/21/2020 18:34,Testing,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008231         ,740331
1/21/2020 18:34,Testing,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008232         ,772874
1/21/2020 18:39,Testing,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008233         ,772875
1/21/2020 21:47,Baking,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008233         ,772875
1/21/2020 21:49,Baking,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008232         ,772874
1/21/2020 21:50,Baking,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008231         ,740331
1/22/2020 5:35,Baking,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008230         ,740332
1/22/2020 5:36,Baking,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008226         ,772879
1/22/2020 10:30,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008226         ,768760
1/22/2020 10:30,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008227         ,768761
1/22/2020 10:30,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008231         ,768762
1/22/2020 10:30,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008230         ,768763
1/22/2020 10:30,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008233         ,768764
1/22/2020 10:30,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008232         ,768765
1/22/2020 15:55,Testing,SE3331246           ,333,1246,1BI5500             ,BI55                ,,688484
1/23/2020 10:57,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008226         ,769071
1/23/2020 10:57,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008227         ,769070
1/23/2020 10:57,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008231         ,769069
1/23/2020 10:57,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008230         ,769068
1/23/2020 10:57,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008233         ,769067
1/23/2020 10:57,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008232         ,769066
1/24/2020 10:32,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008226         ,769189
1/24/2020 10:32,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008227         ,769190
1/24/2020 10:32,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008231         ,769191
1/24/2020 10:32,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008230         ,769192
1/24/2020 10:32,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008233         ,769193
1/24/2020 10:32,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008232         ,769194
1/25/2020 6:53,Testing,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008226         ,770996
1/25/2020 6:58,Testing,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008230         ,770999
1/25/2020 6:59,Testing,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008232         ,771001
1/25/2020 7:05,Testing,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008231         ,770998
1/25/2020 7:05,Testing,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008233         ,771000
1/25/2020 9:23,Baking,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008226         ,770996
1/25/2020 9:23,Baking,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008232         ,771001
1/25/2020 9:24,Baking,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008233         ,771000
1/25/2020 9:24,Baking,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008230         ,770999
1/25/2020 9:24,Baking,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008226         ,770996
1/25/2020 9:24,Baking,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008231         ,770998
1/27/2020 11:25,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008226         ,772723
1/27/2020 11:25,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008227         ,772722
1/27/2020 11:25,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008231         ,772721
1/27/2020 11:25,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008230         ,772720
1/27/2020 11:25,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008233         ,772719
1/27/2020 11:25,Casting,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000008232         ,772718
1/27/2020 11:43,Testing,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000004013         ,674087
1/27/2020 11:48,Testing,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000004014         ,673107
1/27/2020 22:03,Baking,SE3331246           ,333,1246,1BI5500             ,BI55                ,ST000004013         ,674087
